postcode,construction_age_band,in_conservation_area
DA15 7JF,1996-2011,0
DA15 7JS,1983-1995,0
DA15 7JN,2012-onwards,0
DA15 7HQ,1900-1929,1
DA15 7HG,pre-1900,1
DA15 7JE,1967-1982,0
DA15 7HW,1900-1929,1
DA15 7HJ,1900-1929,1
DA15 7HR,1900-1929,1
DA15 7HH,1983-1995,1
DA15 7HP,1930-1949,1
DA14 6TA,1967-1982,0
DA14 6TB,1967-1982,0
DA14 6PE,1950-1966,0
DA14 6TL,1967-1982,0
DA14 6RE,1967-1982,0
DA14 6PD,1900-1929,0
DA14 6PQ,1983-1995,0
DA14 6RX,1967-1982,0
DA14 6PH,1967-1982,0
DA14 6PF,1930-1949,0
DA14 6RT,1950-1966,0
DA14 6PW,1900-1929,0
DA14 6PR,1930-1949,0
DA14 6PN,2012-onwards,0
DA14 6PZ,pre-1900,0
DA14 6RU,1950-1966,0
DA14 6PP,1967-1982,0
DA14 6RD,1930-1949,0
DA14 6RL,1930-1949,0
DA14 6PX,1900-1929,0
DA14 6PY,1900-1929,0
DA15 7HL,1900-1929,1
DA15 7HD,1900-1929,1
DA15 7HA,1900-1929,1
DA15 7HB,1900-1929,1
DA15 7HE,1930-1949,1
DA15 7HF,1967-1982,0
DA14 6TD,1983-1995,0
DA14 6NL,1967-1982,0
DA14 6NF,1930-1949,0
DA14 6ND,pre-1900,1
DA14 6NE,2012-onwards,0
DA15 7AY,2012-onwards,1
DA14 6TF,1996-2011,0
DA14 6AY,1950-1966,0
DA14 6RP,1996-2011,0
DA14 6BA,1950-1966,0
DA14 6NX,1950-1966,0
DA14 6NN,1950-1966,0
DA14 6NT,1950-1966,0
DA14 6NR,1950-1966,0
DA14 6NJ,1967-1982,0
DA14 6NQ,1967-1982,0
DA14 6NU,1983-1995,0
DA14 6NS,1950-1966,0
DA14 6PU,1900-1929,0
DA14 6PT,pre-1900,0
DA14 6PS,1930-1949,0
DA14 6LS,2012-onwards,0
DA14 6LR,2012-onwards,0
DA14 6LF,1950-1966,0
DA14 6BG,1967-1982,0
DA14 6BE,1967-1982,0
DA14 6BB,1950-1966,0
DA14 6AT,1950-1966,0
DA14 6AX,1967-1982,0
DA14 6AU,1930-1949,0
DA14 6TP,1967-1982,0
DA14 6TS,1967-1982,0
DA14 6DG,1996-2011,0
DA14 6BD,1950-1966,0
DA14 6BQ,1967-1982,0
DA14 6BH,1967-1982,0
DA14 6BS,1900-1929,1
SE9 3RL,1930-1949,0
SE9 3RW,1930-1949,0
SE9 3RJ,1930-1949,0
DA15 7PF,1930-1949,0
DA15 7PJ,1930-1949,0
SE9 3RH,1967-1982,0
DA15 7PG,1930-1949,0
DA15 7LN,1930-1949,0
DA15 7LW,1930-1949,0
DA15 7LP,1930-1949,0
DA15 7NU,1930-1949,0
SE9 3RD,1930-1949,0
SE9 3RE,1930-1949,0
SE9 3UQ,1967-1982,0
SE9 3RP,1930-1949,0
DA15 7PH,1930-1949,0
DA15 7NY,1930-1949,0
DA15 7PQ,1930-1949,0
DA15 7PE,1930-1949,0
DA15 7NZ,1930-1949,0
SE9 3RQ,1930-1949,0
SE9 3UG,1930-1949,0
SE9 3RG,1930-1949,0
DA15 7PA,1930-1949,0
SE9 3RF,1930-1949,0
DA15 7LX,1967-1982,0
DA15 7LY,1950-1966,0
DA15 7HY,1967-1982,0
DA15 7JZ,1967-1982,0
DA15 7HX,1983-1995,0
DA15 7JY,1930-1949,0
DA15 7LA,1967-1982,0
DA15 7NE,pre-1900,0
DA15 7NG,pre-1900,0
DA15 7NQ,2012-onwards,0
DA15 7NW,1930-1949,0
DA15 7NH,1900-1929,0
DA15 7ND,1996-2011,0
DA15 7NS,1930-1949,0
DA15 7LE,1967-1982,0
DA15 7LF,1930-1949,0
DA15 7LB,1930-1949,1
DA15 7HS,1950-1966,0
DA15 7LD,1950-1966,0
SE9 3RN,1930-1949,0
SE9 3UB,1930-1949,0
SE9 3UW,1967-1982,0
SE9 3UA,1930-1949,0
SE9 3RR,1930-1949,0
SE9 3UH,1900-1929,0
SE9 3UE,1967-1982,0
SE9 3PP,1930-1949,0
SE9 3UD,1930-1949,0
DA15 7PB,1930-1949,0
DA14 6QQ,1967-1982,0
DA14 6QG,1950-1966,0
DA15 7PD,1930-1949,0
DA15 7NP,1930-1949,0
SE9 3UF,1930-1949,0
DA15 7LZ,1967-1982,0
DA15 7NB,1967-1982,0
DA15 7NA,1967-1982,0
DA15 7LG,1967-1982,0
DA15 7JA,1950-1966,0
DA15 7HT,1967-1982,0
DA15 7LR,1930-1949,0
DA15 7LS,pre-1900,0
DA15 7JP,1900-1929,0
DA15 7NF,1950-1966,0
DA15 7JL,1900-1929,0
DA15 7LT,1930-1949,0
DA15 7NJ,pre-1900,0
DA15 7NN,1930-1949,0
DA15 7LU,1900-1929,0
DA14 6QL,1930-1949,0
DA14 6QF,1930-1949,0
DA15 7NL,pre-1900,0
DA15 7JB,1967-1982,0
DA15 7JT,1983-1995,0
DA15 7HU,1967-1982,0
DA15 7JD,1967-1982,0
DA15 7HN,1930-1949,1
DA15 7HZ,1950-1966,0
DA15 7JW,pre-1900,0
DA15 7JQ,pre-1900,0
DA14 6RJ,1930-1949,0
DA14 6RH,1967-1982,0
DA14 6RN,1900-1929,0
DA14 6QS,2012-onwards,0
DA14 6RS,1950-1966,0
DA14 6QH,1967-1982,0
DA14 6RW,pre-1900,0
DA14 6QE,1930-1949,0
DA14 6RQ,1967-1982,0
DA14 6RG,1950-1966,0
DA14 6RF,1950-1966,0
DA8 2BG,1967-1982,0
DA8 2BQ,1967-1982,0
DA8 2BU,1967-1982,0
DA8 2BF,1996-2011,0
DA8 2JS,1950-1966,0
DA8 2JR,1950-1966,0
DA8 2JT,1996-2011,0
DA8 2JJ,1930-1949,0
DA8 2QB,1996-2011,0
DA8 2QD,1996-2011,0
DA8 2LY,1996-2011,0
DA8 2NZ,1983-1995,0
DA8 2QE,1996-2011,0
DA8 2PZ,1996-2011,0
DA8 2HE,1996-2011,0
DA8 2HW,1996-2011,0
DA8 2HZ,1996-2011,0
DA8 2HF,1996-2011,0
DA8 2HB,1983-1995,0
DA8 2PJ,1983-1995,0
DA8 2PL,1983-1995,0
DA8 2PU,1983-1995,0
DA8 2PT,1983-1995,0
DA8 2EQ,2012-onwards,0
DA8 2HG,1996-2011,0
DA8 2HD,1983-1995,0
DA8 2HQ,1967-1982,0
DA8 2JP,1950-1966,0
DA8 2JL,1950-1966,0
DA8 2LR,1983-1995,0
DA8 2JU,1967-1982,0
DA8 2NH,1996-2011,0
DA8 2NY,1983-1995,0
DA8 2LL,1996-2011,0
DA8 2PF,1983-1995,0
DA8 2PQ,1996-2011,0
DA8 2PE,1983-1995,0
DA8 2AL,1900-1929,0
DA8 2AQ,1900-1929,0
DA8 2JX,1950-1966,0
DA8 2LP,1967-1982,0
DA8 2ED,2012-onwards,0
DA8 2JN,1950-1966,0
DA8 2JW,1950-1966,0
DA8 2JQ,1950-1966,0
DA8 2BT,2012-onwards,0
DA8 2HJ,1950-1966,0
DA8 2HL,1950-1966,0
DA8 2GJ,2012-onwards,0
DA8 2GS,2012-onwards,0
DA8 2GP,2012-onwards,0
DA8 2GF,1983-1995,0
DA8 2LN,1983-1995,0
DA8 2LH,1983-1995,0
DA8 2LX,1930-1949,0
DA8 2LT,1983-1995,0
DA8 2LS,1930-1949,0
DA8 2LU,1950-1966,0
DA8 2PY,1983-1995,0
DA8 2DR,1930-1949,0
DA8 2NL,1900-1929,1
DA8 2NQ,1900-1929,1
DA8 2DU,1930-1949,0
DA8 2DP,1967-1982,0
DA8 2DA,1950-1966,0
DA8 3AH,1967-1982,0
DA8 3PZ,1950-1966,0
DA8 2DD,1950-1966,0
DA8 2BS,1996-2011,0
DA8 2BX,1930-1949,0
DA8 2NN,1900-1929,0
DA8 2NW,1950-1966,0
DA8 2NS,1950-1966,0
DA8 2NR,1900-1929,0
DA8 2PA,1967-1982,0
DA8 2NE,1950-1966,0
DA8 2NA,1930-1949,0
DA8 2ND,1950-1966,0
DA8 2LZ,1950-1966,0
DA8 2NF,pre-1900,0
DA8 2HR,1950-1966,0
DA8 2HA,1967-1982,0
DA8 2DF,1950-1966,0
DA8 2NT,1950-1966,0
DA8 2EZ,1983-1995,0
DA8 3PY,1950-1966,0
DA8 2EX,1996-2011,0
DA8 2EY,1950-1966,0
DA8 2HH,1900-1929,0
DA8 2EW,1983-1995,0
DA8 3PR,1950-1966,0
DA8 2BZ,1950-1966,0
DA8 2BY,1930-1949,0
DA8 2DE,1950-1966,0
DA8 2DB,1950-1966,0
DA8 2NP,1900-1929,0
DA8 2NB,1950-1966,0
DA8 2NG,1900-1929,1
DA8 2PB,1967-1982,0
DA8 2NU,1930-1949,0
DA8 3AF,1950-1966,0
DA8 3QH,1930-1949,0
DA8 3AB,1967-1982,0
DA8 3AE,1950-1966,0
DA8 3FS,2012-onwards,0
DA8 3AA,1950-1966,0
DA8 2EB,1950-1966,0
DA8 2EF,1967-1982,0
DA8 2EG,1983-1995,0
DA8 2DQ,1950-1966,0
DA8 2DG,1950-1966,0
DA8 2DL,1967-1982,0
DA8 2DH,1930-1949,0
DA8 2DN,2012-onwards,0
DA8 2DS,1983-1995,0
DA8 2DJ,1967-1982,0
DA8 3AD,1967-1982,0
DA7 6SW,1930-1949,0
DA7 6SN,1930-1949,0
DA8 2DX,1930-1949,0
DA8 2DT,1967-1982,0
DA8 2EA,1950-1966,0
DA8 2EE,1930-1949,0
DA8 3QF,1930-1949,0
DA8 2DZ,1950-1966,0
DA8 2DY,1967-1982,0
DA8 2AU,1996-2011,0
DA8 2AE,pre-1900,0
DA8 2AB,1900-1929,0
DA8 2AR,1996-2011,0
DA8 2BA,1900-1929,0
DA8 2AX,1900-1929,0
DA8 2AF,pre-1900,0
DA8 2AY,1900-1929,0
DA8 2BD,1930-1949,0
DA8 2AG,1930-1949,0
DA8 2BE,1930-1949,0
DA8 2BB,1900-1929,0
DA8 2AZ,1900-1929,0
DA8 2PG,1983-1995,0
DA8 2PW,1983-1995,0
DA8 2PN,1983-1995,0
DA8 3BP,1930-1949,0
DA8 3EJ,1900-1929,0
DA8 3EL,1900-1929,0
DA8 1YE,1996-2011,0
DA8 1YF,1996-2011,0
DA8 1YB,2012-onwards,0
DA8 1YA,1967-1982,0
DA8 1YJ,1996-2011,0
DA8 1YD,1983-1995,0
DA8 1NH,1996-2011,0
DA8 1LB,1950-1966,0
DA8 1NU,1996-2011,0
DA8 1JJ,1996-2011,0
DA7 5EX,1930-1949,0
DA7 5HR,1930-1949,0
DA7 5HD,1930-1949,0
DA7 5HL,1930-1949,0
DA7 5HP,1930-1949,0
DA7 5HH,1930-1949,0
DA7 5EU,1930-1949,0
DA7 5EY,1930-1949,0
DA7 5ES,1930-1949,0
DA7 5HA,1930-1949,0
DA7 5ET,1930-1949,0
DA8 1JN,1950-1966,0
DA8 1JT,1950-1966,0
DA8 1JS,1950-1966,0
DA8 1JW,1950-1966,0
DA8 1JR,1967-1982,0
DA8 1YG,1996-2011,0
DA8 1LP,1930-1949,0
DA8 1LD,1930-1949,0
DA7 5DZ,1930-1949,0
DA8 1LE,1930-1949,0
DA8 1LQ,1930-1949,0
DA8 1LG,1930-1949,0
DA8 1JL,1950-1966,0
DA8 1JU,1930-1949,0
DA8 1JY,1930-1949,0
DA8 1JX,1900-1929,0
DA8 1JP,1950-1966,0
DA8 1LF,1930-1949,0
DA8 1JQ,1930-1949,0
DA8 1HW,1900-1929,0
DA8 1HP,1900-1929,0
DA8 3HB,1900-1929,0
DA7 5EZ,1930-1949,0
DA7 5PS,1930-1949,0
DA7 5EA,1930-1949,0
DA7 5DY,1930-1949,0
DA17 6ND,1950-1966,0
DA17 6LT,1930-1949,0
DA17 6NA,1930-1949,0
DA7 5PY,1950-1966,0
DA7 5PZ,1950-1966,0
DA17 6LU,1967-1982,0
DA17 6LP,1930-1949,0
DA17 6LL,1930-1949,0
DA17 6LW,1930-1949,0
DA8 1EL,1930-1949,0
DA8 1EE,1930-1949,0
DA8 1ER,1900-1929,0
DA7 5QG,1930-1949,0
DA7 5QE,1930-1949,0
DA7 5QJ,1930-1949,0
DA7 5QQ,1930-1949,0
DA7 5PA,1930-1949,0
DA8 3HF,2012-onwards,0
DA8 3BT,1900-1929,0
DA8 3HH,1930-1949,0
DA8 3EG,1900-1929,0
DA8 3EZ,1930-1949,0
DA8 3EN,1900-1929,0
DA8 3HD,1900-1929,0
DA8 3EX,1900-1929,0
DA8 3BS,1900-1929,0
DA17 6LR,1930-1949,0
DA17 6NF,1930-1949,0
DA17 6LS,1930-1949,0
DA17 6LY,1950-1966,0
DA17 6NQ,1930-1949,0
DA17 6NB,1930-1949,0
DA17 6LX,1930-1949,0
DA8 1DY,1930-1949,0
DA17 6LN,1930-1949,0
DA8 1EA,1950-1966,0
DA8 1ED,1996-2011,0
DA8 1NW,1930-1949,0
DA8 1LR,1950-1966,0
DA8 1NJ,1930-1949,0
DA8 1NL,1930-1949,0
DA8 1NQ,1930-1949,0
DA8 1NN,1930-1949,0
DA8 1NF,1930-1949,0
DA8 1NG,1930-1949,0
DA7 5PX,1930-1949,0
DA8 1NE,1930-1949,0
DA17 6NG,1950-1966,0
DA7 5PU,1930-1949,0
DA8 1LZ,1930-1949,0
DA7 5PT,1930-1949,0
DA8 1EJ,1930-1949,0
DA8 1EH,1930-1949,0
DA8 1EY,1930-1949,0
DA8 1EP,1930-1949,0
DA7 5NZ,1930-1949,0
DA7 5PE,1950-1966,0
DA7 5HF,1930-1949,0
DA7 5HE,1930-1949,0
DA7 5NY,1930-1949,0
DA7 5HB,1930-1949,0
DA8 1EZ,1900-1929,0
DA8 1HD,1900-1929,0
DA8 3HG,1930-1949,0
DA8 1HB,1900-1929,0
DA8 3HQ,1900-1929,0
DA8 1EB,pre-1900,1
DA8 1JB,1996-2011,0
DA8 1YH,1996-2011,0
DA8 3EW,1930-1949,0
DA8 3BG,1930-1949,0
DA8 3EQ,1900-1929,0
DA8 3BW,1950-1966,0
DA8 3DA,1900-1929,0
DA8 3BX,1900-1929,0
DA8 1HG,pre-1900,0
DA8 1HH,1900-1929,0
DA8 1JF,1900-1929,0
DA8 1HF,1900-1929,0
DA7 5PD,1930-1949,0
DA7 5HG,1950-1966,0
DA7 5NU,1930-1949,0
DA7 5PB,1930-1949,0
DA7 5PF,1930-1949,0
DA7 5NX,1900-1929,0
DA8 1DZ,1900-1929,0
DA8 1HA,1900-1929,0
DA8 1HE,1900-1929,0
DA8 1ES,1983-1995,0
DA8 1JA,1900-1929,0
DA8 1LU,1900-1929,0
DA8 1LY,1930-1949,0
DA8 1LS,1930-1949,0
DA8 1LT,1930-1949,0
DA8 1LX,1930-1949,0
DA8 1NA,1950-1966,0
DA7 5NG,1930-1949,0
DA7 5HW,1930-1949,0
DA7 5NQ,1930-1949,0
DA7 5NJ,1930-1949,0
DA7 5HQ,1950-1966,0
DA7 5HN,1930-1949,0
DA7 5NH,1930-1949,0
DA8 1HJ,1900-1929,0
DA8 1HQ,1983-1995,0
DA8 1JH,1983-1995,0
DA8 1JG,1930-1949,0
DA8 1HN,1900-1929,0
DA8 1HL,1900-1929,0
DA5 3JX,1983-1995,0
DA5 3PA,1967-1982,0
DA5 3PB,1950-1966,0
DA5 3PD,1967-1982,0
DA5 3NU,1950-1966,0
DA5 3JY,1930-1949,0
DA5 3NX,1950-1966,0
DA5 3LP,1967-1982,0
DA5 3NZ,1967-1982,0
DA5 2DW,1950-1966,0
DA5 2DE,1967-1982,0
DA5 2DF,1930-1949,0
DA5 2DQ,1930-1949,0
DA5 2DH,1950-1966,0
DA5 2DU,1967-1982,0
DA5 2DL,1996-2011,0
DA5 3LU,pre-1900,1
DA5 3LX,pre-1900,1
DA5 2LF,1996-2011,0
DA5 2AS,pre-1900,0
DA5 1BJ,2012-onwards,0
DA5 1LW,pre-1900,0
DA5 1LU,1900-1929,0
DA5 1LT,pre-1900,0
DA5 1NS,1930-1949,0
DA5 1NN,1930-1949,0
DA5 1EB,2012-onwards,1
DA5 1BQ,2012-onwards,0
DA5 1NU,pre-1900,1
DA5 1HY,1950-1966,0
DA5 1AS,1900-1929,1
DA5 1QS,1900-1929,1
DA5 1HX,1950-1966,0
DA5 3NL,1983-1995,0
DA5 1QP,1950-1966,0
DA5 1JG,1900-1929,0
DA5 1HZ,1950-1966,1
DA5 1QR,1900-1929,1
DA5 1QN,1983-1995,1
DA5 1GY,1950-1966,0
DA5 1HF,1996-2011,1
DA5 1JB,1930-1949,0
DA5 3PQ,1967-1982,0
DA5 3PG,1950-1966,0
DA5 1JA,1930-1949,0
DA5 3NR,1967-1982,0
DA5 1JD,1930-1949,0
DA5 2DR,1950-1966,0
DA5 2DS,1950-1966,0
DA5 2DJ,1950-1966,0
DA5 2AX,1967-1982,0
DA5 1AL,1967-1982,0
DA5 1AP,1950-1966,1
DA5 3JN,pre-1900,0
DA5 1AN,1930-1949,0
DA5 1AW,1950-1966,0
DA5 1AU,1950-1966,0
DA5 1HT,pre-1900,1
DA5 3AN,1930-1949,0
DA5 3AR,1930-1949,0
DA5 3AL,1930-1949,0
DA5 3AD,1996-2011,0
DA5 3AP,1900-1929,0
DA5 1HR,1983-1995,0
DA5 1JP,1983-1995,0
DA5 1HS,1983-1995,0
DA5 1HW,1983-1995,0
DA5 1HL,1983-1995,0
DA5 1HA,1996-2011,0
DA5 1HN,1983-1995,0
DA5 3LN,1930-1949,0
DA5 3LW,1930-1949,0
DA5 3LL,1930-1949,0
DA5 1JT,1983-1995,1
DA5 3NA,1930-1949,0
DA5 1AJ,2012-onwards,1
DA5 3QG,1900-1929,0
DA5 1AB,pre-1900,1
DA5 1BF,1996-2011,1
DA5 1AD,1900-1929,1
DA5 1AH,1900-1929,1
DA5 1LQ,1950-1966,1
DA5 1ED,pre-1900,1
DA5 2FD,1996-2011,1
DA5 3NE,2012-onwards,1
DA5 1LB,1967-1982,1
DA5 1AA,1900-1929,1
DA5 1DY,2012-onwards,1
DA5 1LD,pre-1900,1
DA5 3AW,1930-1949,0
DA5 3AJ,1930-1949,0
DA5 3AH,1930-1949,0
DA5 3BE,1930-1949,0
DA5 3BB,1930-1949,0
DA5 3BA,1930-1949,0
DA5 3AS,1900-1929,0
DA5 3AZ,1930-1949,0
DA5 3AX,1930-1949,0
DA5 3NW,1930-1949,0
DA5 3NY,1950-1966,0
DA5 3NT,1967-1982,0
DA5 3NP,1950-1966,0
DA5 3JS,1930-1949,0
DA5 3NS,1950-1966,0
DA5 2AL,1930-1949,1
DA5 1JS,1983-1995,1
DA5 3LZ,1900-1929,0
DA5 3LY,1930-1949,1
DA5 1JX,pre-1900,1
DA5 2AN,pre-1900,1
DA5 1JY,1900-1929,1
DA5 2AJ,pre-1900,1
DA5 3QH,1930-1949,0
DA5 3QW,1930-1949,0
DA5 3JW,1967-1982,0
DA5 3QF,1930-1949,0
DA5 3QE,1900-1929,0
DA5 3JR,1950-1966,0
DA5 3QN,1930-1949,0
DA5 3JP,1950-1966,0
DA5 3JU,1950-1966,0
DA5 3JT,1950-1966,0
DA5 3AY,1930-1949,0
DA5 3BD,1930-1949,0
DA5 3DY,1930-1949,0
DA5 3DZ,1930-1949,0
DA14 4NP,2012-onwards,0
DA5 3PE,1967-1982,0
DA5 3NN,1930-1949,0
DA5 3LA,1930-1949,0
DA5 3PF,1967-1982,0
DA5 3PH,1930-1949,0
DA5 3LB,1950-1966,0
DA5 3LJ,1930-1949,0
DA5 3GJ,1983-1995,0
DA5 3LG,1930-1949,0
DA5 3LF,1930-1949,0
DA5 3DT,1930-1949,0
DA5 3LE,1950-1966,0
DA5 3DU,1930-1949,0
DA5 3DX,1950-1966,0
DA5 2DN,1950-1966,0
DA5 2DB,1950-1966,0
DA5 2DA,1900-1929,0
DA5 2DD,1967-1982,0
DA5 2AU,1967-1982,0
DA5 2DP,1950-1966,0
DA5 2DT,1967-1982,0
DA5 2BT,1967-1982,0
DA5 2AR,1930-1949,0
DA5 2AP,pre-1900,1
DA5 2AT,1900-1929,0
DA5 3JF,1950-1966,0
DA14 4PD,1967-1982,0
DA5 3JB,1950-1966,0
DA5 3AG,1950-1966,0
DA5 3LQ,1900-1929,0
DA5 3HZ,1950-1966,0
DA5 3HS,1930-1949,0
DA5 3LD,1950-1966,0
DA5 3AQ,1950-1966,0
DA5 3QQ,1930-1949,0
DA5 3JZ,1930-1949,0
DA5 3QJ,1967-1982,0
DA5 3HF,1930-1949,0
DA5 3QL,1967-1982,0
DA5 2BE,1930-1949,0
DA5 2BA,1930-1949,0
DA5 2AY,1930-1949,0
DA5 2AZ,1930-1949,0
DA5 2BB,1930-1949,0
DA5 2BD,1930-1949,0
DA5 2BH,1930-1949,0
DA5 3HT,1930-1949,0
DA5 3JD,1950-1966,0
DA5 3HU,1950-1966,0
DA5 3HY,1967-1982,0
DA5 3HX,2012-onwards,0
DA5 3JE,1950-1966,0
DA5 3HE,1930-1949,0
DA5 3HD,1930-1949,0
DA5 3HG,1900-1929,0
DA5 3HN,1930-1949,0
DA5 3HL,1930-1949,0
DA5 3HP,1900-1929,0
DA5 3HR,1930-1949,0
DA5 3HW,1930-1949,0
DA5 2BS,1967-1982,0
DA5 2BQ,1950-1966,0
DA5 2BU,1967-1982,0
DA5 2BY,1967-1982,0
DA5 2FA,2012-onwards,0
DA5 2BX,1967-1982,0
DA5 2BZ,1967-1982,0
DA5 1NG,pre-1900,0
DA5 1NH,1950-1966,0
DA5 1LX,1950-1966,0
DA5 1LY,1950-1966,0
DA5 1LZ,1950-1966,0
DA5 1NQ,1930-1949,0
DA5 1NJ,1967-1982,0
DA5 1NF,1930-1949,0
DA5 1ND,1900-1929,0
DA5 1BE,1967-1982,1
DA5 1BB,1930-1949,0
DA5 1NL,pre-1900,1
DA5 1BA,1930-1949,0
DA5 1AY,1930-1949,0
DA5 1AX,1930-1949,0
DA5 1AZ,1930-1949,1
DA5 1AR,pre-1900,1
DA5 1RJ,1967-1982,0
DA5 1NP,1950-1966,0
DA5 1NW,1930-1949,0
DA5 1NR,1930-1949,0
DA5 1NT,pre-1900,0
DA5 1QU,1930-1949,0
DA5 1RF,1950-1966,0
DA5 1QT,1930-1949,0
DA5 1BD,1930-1949,0
DA5 1RE,1950-1966,0
DA5 1RH,1950-1966,0
DA16 1LQ,1930-1949,0
DA16 1LH,1930-1949,0
DA16 1LG,1930-1949,0
DA7 5SZ,1930-1949,0
DA7 5SY,1930-1949,0
DA16 1DJ,1900-1929,0
DA7 5SW,1930-1949,0
DA16 1HZ,1930-1949,0
DA16 1EQ,1930-1949,0
DA16 1JH,1930-1949,0
DA16 1LT,1930-1949,0
DA16 1RG,1930-1949,0
DA16 1RH,1930-1949,0
DA16 1RJ,1930-1949,0
DA16 1RQ,1930-1949,0
DA16 1QZ,1950-1966,0
DA16 1QY,1967-1982,0
DA16 1RE,1967-1982,0
DA16 1RB,1967-1982,0
DA16 1RF,1967-1982,0
DA16 3AG,1900-1929,0
DA16 1QU,1967-1982,0
DA16 1JY,1900-1929,0
DA16 3AW,1950-1966,0
DA16 3AL,1900-1929,0
DA16 3AQ,1900-1929,0
DA16 1LA,1950-1966,0
DA16 1LJ,1930-1949,0
DA16 1LP,1930-1949,0
DA16 1LS,2012-onwards,0
DA16 1LN,1930-1949,0
DA16 1HY,1930-1949,0
DA7 4TR,1930-1949,0
DA16 1JZ,1900-1929,0
DA16 1PQ,1930-1949,0
DA16 1PG,1930-1949,0
DA16 1JQ,1930-1949,0
DA16 1JT,1930-1949,0
DA16 1HX,1930-1949,0
DA16 1JR,1930-1949,0
DA16 1JG,1930-1949,0
DA16 1HU,1930-1949,0
DA16 1PF,1930-1949,0
DA16 1PJ,1930-1949,0
DA16 1NS,1930-1949,0
DA16 1PL,1930-1949,0
DA16 1LF,1930-1949,0
DA16 1LD,1930-1949,0
DA16 1JS,1930-1949,0
DA16 1JX,1930-1949,0
DA16 1NG,1930-1949,0
DA16 1NW,1930-1949,0
DA16 1NN,1930-1949,0
DA16 1NF,1930-1949,0
DA16 1JE,1930-1949,0
DA16 1NJ,1930-1949,0
DA16 1NL,1930-1949,0
DA16 1HS,1930-1949,0
DA16 1HT,1930-1949,0
DA16 1PE,1930-1949,0
DA16 1PA,1930-1949,0
DA16 1PB,1930-1949,0
DA16 1NH,1930-1949,0
DA16 1ND,1930-1949,0
DA16 1NQ,1930-1949,0
DA16 1JU,1930-1949,0
DA16 1NE,1930-1949,0
DA16 1NA,1930-1949,0
DA16 1NZ,1996-2011,0
DA16 1NU,1930-1949,0
DA16 3AF,1930-1949,0
DA16 1NX,1930-1949,0
DA16 3AE,1900-1929,0
DA16 1NB,1930-1949,0
DA16 1PH,1930-1949,0
DA16 1NP,1930-1949,0
DA16 1PD,1930-1949,0
DA16 1NR,1930-1949,0
DA16 1NT,1930-1949,0
DA16 1AX,1950-1966,0
DA7 5SS,1930-1949,0
DA7 5SL,1930-1949,0
DA16 1AS,1930-1949,0
DA7 5SX,1930-1949,0
DA16 1AT,1950-1966,0
DA16 1AU,1967-1982,0
DA7 5SR,1950-1966,0
DA16 1BJ,1950-1966,0
DA16 1BH,1930-1949,0
DA7 5SP,1967-1982,0
DA16 1BL,1950-1966,0
DA16 1AY,1967-1982,0
DA16 1BB,1950-1966,0
DA16 1BG,1950-1966,0
DA16 1BE,1950-1966,0
DA16 1BQ,1950-1966,0
DA7 5ST,1930-1949,0
DA7 5SN,1930-1949,0
DA7 5SU,1930-1949,0
DA7 5SA,1930-1949,0
DA16 1AZ,1930-1949,0
DA16 1BW,1950-1966,0
DA16 1BD,1950-1966,0
DA16 1AR,1983-1995,0
DA16 1BT,1950-1966,0
DA16 1BN,1983-1995,0
DA16 1BU,1983-1995,0
DA16 1EB,1930-1949,0
DA16 1DS,1930-1949,0
DA16 1DR,1930-1949,0
DA16 1DA,1930-1949,0
DA16 1DL,1930-1949,0
DA16 1DH,1930-1949,0
DA16 1DP,1930-1949,0
DA16 1DU,1930-1949,0
DA16 1DT,1930-1949,0
DA16 1DW,1930-1949,0
DA16 1DN,1930-1949,0
DA16 1DG,1930-1949,0
DA16 1DX,1930-1949,0
DA16 1DY,1930-1949,0
DA16 1DZ,1930-1949,0
DA16 1DF,1967-1982,0
DA16 1BP,1930-1949,0
DA16 1BS,1930-1949,0
DA16 1EX,1930-1949,0
DA16 1DD,1930-1949,0
DA16 1DB,1930-1949,0
DA16 1ET,1930-1949,0
DA16 1EW,1930-1949,0
DA16 1JJ,1930-1949,0
DA16 1EJ,1930-1949,0
DA16 1JA,1930-1949,0
DA16 1EP,1930-1949,0
DA16 1EL,1930-1949,0
DA16 1ES,1930-1949,0
DA16 1EH,1967-1982,0
DA16 1EN,1930-1949,0
DA16 1HJ,1996-2011,0
DA16 3AP,1950-1966,0
DA16 1RA,1967-1982,0
DA16 1RD,1967-1982,0
DA16 1HE,1930-1949,0
DA16 1HF,1930-1949,0
DA16 1HD,1930-1949,0
DA16 1ER,1930-1949,0
DA16 1EU,1930-1949,0
DA16 1EZ,1950-1966,0
DA16 1HB,1930-1949,0
DA16 1EY,1950-1966,0
DA16 1DE,1930-1949,0
DA16 1DQ,1930-1949,0
DA16 1HG,1930-1949,0
DA16 1HQ,1930-1949,0
DA16 1LL,1930-1949,0
DA16 1LR,1930-1949,0
DA16 1RL,1930-1949,0
DA16 1LE,1930-1949,0
DA16 1LW,1930-1949,0
DA16 1HA,1930-1949,0
DA16 1HH,1930-1949,0
DA14 4BB,1967-1982,0
DA14 4AY,1967-1982,0
DA15 7DQ,1983-1995,0
DA15 7DU,1930-1949,0
DA14 4AL,1967-1982,0
DA14 4AZ,1967-1982,0
DA14 4BE,1967-1982,0
DA14 4AR,1950-1966,0
